# ax ay az gx gy gz
-0.98	0.11	0.03	-0.42	0.02	0.17
-0.98	0.11	0.03	-0.33	-0.09	0.06
-0.98	0.11	0.03	-0.37	-0.02	0.05
-0.98	0.11	0.03	-0.45	-0.03	0.03
-0.98	0.11	0.03	-0.39	-0.03	0.10
-0.98	0.11	0.03	-0.45	0.03	0.16
-0.98	0.11	0.03	-0.42	-0.11	0.14
-0.98	0.11	0.03	-0.32	-0.01	0.08
-0.98	0.11	0.03	-0.38	-0.01	0.04
-0.98	0.11	0.03	-0.42	0.02	0.10
-0.98	0.11	0.03	-0.47	-0.01	0.11
-0.98	0.11	0.03	-0.40	0.02	0.11
-0.98	0.11	0.03	-0.40	0.02	0.16
-0.98	0.11	0.03	-0.41	0.04	0.06
-0.98	0.11	0.03	-0.39	0.03	0.14
-0.98	0.11	0.03	-0.44	0.06	0.06
-0.98	0.11	0.03	-0.48	0.04	0.11
-0.98	0.11	0.03	-0.38	0.09	0.03
-0.98	0.11	0.03	-0.38	0.09	0.10
-0.98	0.11	0.03	-0.47	0.03	0.10
-0.98	0.11	0.03	-0.35	-0.04	0.16
-0.98	0.11	0.03	-0.44	0.04	0.09
-0.98	0.11	0.03	-0.43	0.06	0.08
-0.98	0.11	0.03	-0.43	-0.00	0.21
-0.98	0.11	0.03	-0.40	-0.01	0.14
-0.98	0.11	0.03	-0.42	0.01	0.06
-0.98	0.11	0.03	-0.42	0.06	0.10
-0.98	0.11	0.03	-0.42	0.03	0.08
-0.98	0.11	0.03	-0.36	0.03	0.17
-0.98	0.11	0.03	-0.42	-0.00	0.08
-0.98	0.11	0.03	-0.45	0.05	0.18
-0.98	0.11	0.03	-0.47	0.01	0.07
-0.98	0.11	0.03	-0.42	0.02	0.14
-0.98	0.11	0.03	-0.35	0.00	0.14
-0.98	0.11	0.03	-0.45	-0.00	0.15
-0.98	0.11	0.03	-0.39	-0.00	0.16
-0.98	0.11	0.03	-0.41	0.03	0.12
-0.98	0.11	0.03	-0.39	-0.00	0.14
-0.98	0.11	0.03	-0.36	-0.05	0.13
-0.98	0.11	0.03	-0.45	0.03	0.08
-0.98	0.11	0.03	-0.46	0.02	0.12
-0.98	0.11	0.03	-0.36	0.00	0.11
-0.98	0.11	0.03	-0.34	-0.08	0.10
-0.98	0.11	0.03	-0.43	0.00	0.14
-0.98	0.11	0.03	-0.42	0.03	0.13
-0.98	0.11	0.03	-0.37	-0.00	0.15
-0.98	0.11	0.03	-0.39	-0.01	0.07
-0.98	0.11	0.03	-0.41	0.01	0.15
-0.98	0.11	0.03	-0.39	-0.02	0.11
-0.98	0.11	0.03	-0.39	-0.00	0.13
-0.98	0.11	0.03	-0.42	-0.00	0.10
-0.98	0.11	0.03	-0.41	0.08	0.11
-0.98	0.11	0.03	-0.39	-0.00	0.11
-0.98	0.11	0.03	-0.46	0.00	0.08
-0.98	0.11	0.03	-0.41	0.04	0.10
-0.98	0.11	0.03	-0.38	0.04	0.13
-0.98	0.11	0.03	-0.41	0.02	0.03
-0.98	0.11	0.03	-0.35	-0.05	0.15
-0.98	0.11	0.03	-0.39	0.00	0.10
-0.98	0.11	0.03	-0.36	0.03	0.10
-0.98	0.11	0.03	-0.40	-0.12	0.11
-0.98	0.11	0.03	-0.35	-0.03	0.04
-0.98	0.11	0.03	-0.42	-0.10	0.04
-0.98	0.11	0.03	-0.50	0.02	0.17
-0.98	0.11	0.03	-0.37	-0.12	0.15
-0.98	0.11	0.03	-0.41	-0.03	0.04
-0.98	0.11	0.03	-0.44	0.01	0.10
-0.98	0.11	0.03	-0.35	0.00	0.06
-0.98	0.11	0.03	-0.39	-0.01	0.15
-0.98	0.11	0.03	-0.34	-0.02	0.10
-0.98	0.11	0.03	-0.45	-0.02	0.17
-0.98	0.11	0.03	-0.45	0.03	0.10
-0.98	0.11	0.03	-0.42	-0.01	0.11
